key,英文,简体中文
English,English,英文
ChineseSimplified,ChineseSimplified,简体中文
ChineseTraditional,ChineseTraditional,繁体中文
Windowed,Windowed,窗口模式
Wallpaper,Wallpaper,壁纸模式
Full Screen,Full Screen,全屏模式
Quit Game,Quit Game,退出游戏
Times up!,Times up!,时间到了！
Close,Close,关闭
Hours,Hours,小时
Minutes,Minutes,分钟
Seconds,Seconds,秒
Start,Start,开始
Stop,Stop,停止
Duration of Session,Duration of Session,会话时间
Duration of Breaks,Duration of Breaks,休息时间
Number of Sessions,Number of Sessions,会话次数
· Reality,· Reality,• 稀有度
· Minute-earning,· Minute-earning,• 分钟收入
· Price for selling,· Price for selling,• 售价
Description,Description,描述
Habitat,Habitat,栖息地
Earnings/Minute,Earnings/Minute,收益/分钟
Sale Price:,Sale Price:,售价：
Delete,Delete,删除
Schedule,Schedule,日程
Diary,Diary,日记
Eggs,Eggs,鸟蛋
Decoration,Decoration,装饰
Tools,Tools,工具
Buy,Buy,购买
BOOK,BOOK,日记
Food,Food,食物
TeddyBear,TeddyBear,泰迪熊
Backpack,Backpack,背包
Light,Light,光
Flower,Flower,花
Mushrrom,Mushrrom,蘑菇
Cursor,Cursor,鼠标
Time to have a break!,Time to have a break!,休息时间到了！
Time to work!,Time to work!,时间到了！
Delete Save,Delete Save,删除存档
Decorations can only be placed on the ground!,Decorations can only be placed on the ground!,装饰物只能放在地面上！
Insufficient coins,Insufficient coins,金币不足
The maximum purchase quantity limit has been reached!,The maximum purchase quantity limit has been reached!,已达到最大购买数量限制！
Purchase successful! Left-click to place the ornament,Purchase successful! Left-click to place the ornament,购买成功！单击以放置装饰物。
Purchase successful! The ornament has been placed in the designated place,Purchase successful! The ornament has been placed in the designated place,购买成功！装饰物已经被放置在指定位置。
Purchase successful! Food skins are equipped:,Purchase successful! Food skins are equipped:,购买成功！食品皮肤已装备：
Purchase successful! Cursor skins are equipped:,Purchase successful! Cursor skins are equipped:,购买成功！鼠标皮肤已装备：
Food skin equipped:,Food skin equipped:,已装备食物皮肤：
Cursor skin equipped:,Cursor skin equipped:,已装备鼠标皮肤：
Common,Common,常见
Endangered,Endangered,濒危
Extinct,Extinct,灭绝
Rare,Rare,稀有
Unknown,Unknown,未知
cockatielDescription,"With a tuft of yellow feathers like a tiny crown, this little forest fairy is gentle, clingy, and even learns to talk. A perfect companion full of warmth.",顶着一撮小黄毛，像戴着小皇冠的森林小精灵。性格乖巧又爱黏人，还会学人说话，陪伴感满满。
cockatielHabitat,"Loves roaming around the grasslands and farmlands of Australia, and can adapt well to dry environments.",最喜欢在澳洲的大草原和农田边转悠，干燥的地方也能自在生活。
ParakeetDescription,A striped little cutie who loves chirping in flocks and playing nonstop. One of the most popular pet birds in the world.,背上有条纹的小可爱，总喜欢成群结队叽叽喳喳，玩耍不停。是世界上最受欢迎的小伙伴之一。
ParakeetHabitat,"Native to Australia, budgerigars thrive in dry grasslands and scrublands. They often travel in flocks in search of water and food, adapting well to arid conditions. Their natural habitat includes open plains with sparse trees.",虎皮鹦鹉原产于澳大利亚，多见于干燥的草原与灌木地带，常成群迁徙寻找水源，是适应力极强的鸟类。
DodoDescription,"A chubby, round bird that couldn’t fly but waddled in the cutest way. Sadly, it is now extinct.",圆滚滚的大鸟，虽然不会飞，但走起路来憨态可掬。现在已经灭绝。
DodoHabitat,"The dodo lived in the forests of Mauritius, a tropical island in the Indian Ocean. It nested on the ground and thrived in the island’s predator-free, lush woodland environment.",曾经住在毛里求斯岛的森林里，最喜欢吃掉在地上的水果。
KakapoDescription,A chunky night wanderer and the only parrot in the world that cannot fly. Its clumsy charm makes people want to protect it even more.,夜晚才会出来散步的胖墩墩，是世界上唯一不会飞的鹦鹉。笨笨的样子让人更想保护它。
KakapoHabitat,"Hidden away in New Zealand’s misty mountain forests, it thrives in the hush of untouched wilderness.",新西兰的山林深处，安静的原始森林才是它安心的家。
LoryDescription,"A flower nectar lover with a magical brush-tipped tongue, glowing feathers, and boundless energy—like a tiny spinning top that never stops.",拥有魔法小舌头的花蜜爱好者，羽毛闪闪发光，性格活泼，像永远转不完的小陀螺。
LoryHabitat,"Prefers to live among blooming flowers, darting around to sip nectar, a natural helper in the forest’s garden.",爱住在开满花的地方，飞来飞去帮忙采蜜，是森林里的花园小帮手。
SHOPKEY,Shop,商店
BOOKKEY,Book,图鉴
RADIOKEY,Radio,收音机
SETTINGKEY,Setting,设置
NOTEBOOKKEY,Note,笔记本
TIMERKEY,Timer,计时器
MAPKEY,Map,地图
BIRDBOOKKEY,"Book

《書》",书
WeatherButton,Atmosphere,氛围
Japanese,Japanese,日语
Korean,Korean,韩语
Russian,Russian,俄语
French,French,法语
Spanish,Spanish,西班牙语
CockatooDescription,"Always wearing a feathery little hat, clever and a bit mischievous. With an impressively long lifespan, it’s like an old friend who stays by your side for life.",永远戴着一顶羽毛小帽子，聪明又调皮。寿命超长，就像一位会一直守在身边的老朋友。
CockatooHabitat,Found everywhere from rainforests to city parks—an adaptable little genius.,从雨林到城市公园都能见到，超级会适应环境的“小机灵鬼”。
