Key,English,ChineseSimplified,ChineseTraditional,German,Portuguese,French,Spanish,Russian
'Acceleration of bird growth: high','Acceleration of bird growth: high',鸟的成长速度加成：高,,,,,,
'Acceleration of bird growth: low','Acceleration of bird growth: low',鸟的成长速度加成：低,,,,,,
'Acceleration of bird growth: medium','Acceleration of bird growth: medium',鸟的成长速度加成：中,,,,,,
'Cursor skin equipped:','Cursor skin equipped:',已装备鼠标皮肤：,已裝備鼠標皮膚：,커서 스킨 장착:,"""\u041A\u0443\u0440\u0441\u043E\u0440\u0441\u043A\u0430\u044F \u043A\u043E\u0436\u0430",Le peau du curseur équipée :,'Piel del cursor equipada:',カーソルスキン装備済み
'Earned Coin:','Earned Coin:',赚取金币：,,,,,,
'Food skin equipped:','Food skin equipped:',已装备食物皮肤：,已裝備食物皮膚：,식부장 장착,"""\u041F\u0438\u0449\u0435\u0432\u0430\u044F \u043A\u043E\u0436\u0430",Pamulement alimentaire équipé :,'Piel de comida equipada:',食材付加済み
'Purchase successful! Cursor skins are equipped:','Purchase successful! Cursor skins are equipped:',购买成功！鼠标皮肤已装备：,購買成功！鼠標皮膚已裝備：,구매 성공! 커서 스킨이 장착되었습니다.,"""\u0423\u0441\u043F\u0435\u0448\u043D\u0430\u044F \u043F\u043E\u043A\u0443\u043F\u043A\u0430!","""L'achat a \xE9t\xE9 couronn\xE9 de succ\xE8s ! Les peaux de curseur",¡El pago es exitoso! Los pieles de cursor están equipados.,購入成功！カーソルスキンが装備されました。
'Purchase successful! Food skins are equipped:','Purchase successful! Food skins are equipped:',购买成功！食品皮肤已装备：,購買成功！食物皮膚已裝備：,구매 성공! 음식피는 장비되었습니다.,"""\u0423\u0441\u043F\u0435\u0448\u043D\u0430\u044F \u043F\u043E\u043A\u0443\u043F\u043A\u0430!",L'achat a réussi ! Les peaux alimentaires sont équipées :,¡Completado con éxito! Las piel de comida están equipadas.,成功購入！食材スキンが装備されました。
'Sale Price:','Rewards:',奖励：,售價：,사용가액:,Прейс-Цена:,'Prix de vente :','Precio de venta:',商価：
AddDiary,Create a diary,创建一本日记,,,,,,
Adult,Adult,成年,,,,,,
African ostrich,,非洲鸵鸟,,,,,,
Afternoon Timer,Afternoon Timer,午后番茄钟,,,,,,
Afternoon Timer Desc,A timer in warm afternoon tones,午后暖光的番茄钟,,,,,,
Albatross,Albatross,信天翁,,,,,,
Albatross Desc,"A gentle ocean glider with wide wings, soaring endlessly above the sea,",在海上滑翔的大鸟，展开宽大翅膀，自由又平静，随着海风飞向远方。,,,,,,
Alpine Accentor,Alpine Accentor,领岩鹨,,,,,,
Alpine Accentor Desc,"""Snow Finch A small passerine of high alpine and Arctic zones, hopping",生活在高山与极地岩石间的小鸟，常在缝隙中筑巢，能在严寒中繁殖，是真正适应极端环境的留鸟。,,,,,,
Ancient Beast Bones,Lost Bone,遗落兽骨,,,,,,
Ancient Beast Bones Desc,Ancient bones left in the mountains,山中遗留的古老兽骨,,,,,,
Ancient Bones,Ancient Bones,遗落兽骨,,,,,,
Ancient Bones Desc,Ancient bones left in the mountains,山中遗留的古老兽骨,,,,,,
ArabianBustard,Arabian Bustard,阿拉伯鹭鸨,,,,,,
Arctic Tern,Arctic Tern,北极燕鸥,,,,,,
Arctic Tern Desc,"""The world's longest migrant, flying from the Arctic to the Antarctic",世界上迁徙距离最长的鸟，每年往返南北极，单程超过3.5万公里，一生都在追逐夏天的光。,,,,,,
Are you sure you want to delete this save file?,Are you sure you want to delete this save file?,是否确定删除存档文件?,,,,,,
AutoFeeding,Turn Off Auto Feeding,手动喂食,,,,,,
BIRDBOOKKEY,'Book (B),书 (B),書,사서,Книга,Le livre,Libro,《ブック》
BOOK,BOOK,日记,日記,책,КНИГА,LIVRE,LIBRO,ブック
BOOKKEY,Birdbook (B),图鉴 (B),書籍,도감,Книга,Le livre,Libro,ブック
Backpack,Backpack,背包,背包,백팩,Рюкзак,Sac à dos,Moquera,バックパック
Beach Crab,Beach Crab,螃蟹,,,,,,
Beach Crab Desc,A crab wandering on sandy shore,海边沙地的小居民,,,,,,
Bean,Bean,豆子,,,,,,
BeanKey,"'Soft, round beans full of flavor and goodness. Acceleration of bird",圆润柔软的豆子，营养丰富又可口。,,,,,,
Bear,Bear,熊,,,,,,
Bearded Vulture,,胡兀鹫,,,,,,
Bearded Vulture Description,"A rugged mountain scavenger with a wise gaze. It thrives on cliffs, turning",山中奇鸟，火红双眼与长羽须。会将骨高空抛落击碎取髓，象征智慧、生存与古老之美。 ,,,,,,
Bee,Insect,昆虫,,,,,,
Bering Cormorant,Bering Cormorant,白令鸬鹚,,,,,,
Bering Cormorant Desc,"'A colonial seabird of the North Pacific, diving deep with powerful webbed",北太平洋的潜水海鸟，用有力的蹼足追鱼，但羽毛不防水，上岸后必须张翅晾干，是常见的海边奇景。,,,,,,
Bird,Bird,鸟,,,,,,
Bird Nest Tent,Cozy Tent,惬意帐篷,,,,,,
Bird Nest Tent Desc,A tent where new birds are born,新鸟诞生的小小帐篷,,,,,,
Bird Vloume,Bird Vloume,鸟音量,,,,,,
Bird of Paradise,Bird of Paradise,花魁鸟,,,,,,
Bird of Paradise Desc,"A dazzling performer by the shore, spreading colorful feathers like flowing",在海边舞动的华丽小鸟，羽毛如海浪般展开，优雅表演，仿佛随海风轻轻起舞。,,,,,,
BirdBook,BirdBook,图鉴,,,,,,
Black Grouse,,黑琴鸡,,,,,,
Black GrouseDescription,"A bold dancer of the wild. It fans its tail, stomps proudly, and sings",以雄鸟的求偶舞闻名，展开琴形尾羽高声鸣叫。生活在林缘与荒原，展现北地野性的律动。 ,,,,,,
Blue-footed Booby,Blue-footed Booby,蓝脚鲣鸟,,,,,,
Blue-footed Booby Desc,"A funny seaside dancer with bright blue feet, proudly stepping and wobbling,",拥有蓝色小脚的海边舞者，步伐摇摆又自信，每一步都像开心的表演。,,,,,,
Breaks,Rest,休息,休息時間,휴식기간의 지속도,"""\u041F\u0440\u043E\u0434\u043E\u043B\u0436\u0438\u0442\u0435\u043B\u044C\u043D\u043E\u0441\u0442\u044C",Durée des pauses,Duración de las pausas,休憩の期間
Breezy Kite,Windy Kite,飘飘风筝,,,,,,
Breezy KiteDescription,The mountain wind is strong.,高山上的风也太大了。,,,,,,
Brown-necked Raven,,褐颈渡鸦,,,,,,
Brown-necked RavenDescription,"A bold, intelligent bird with glossy black feathers and a brown collar.",黑亮羽毛、颈带棕色，聪明大胆，能解谜、会嬉戏。能在极端环境中生存，是沙漠天空的智者与顽童。 ,,,,,,
Brown_necked Raven,Brown-necked Raven,褐颈渡鸦,,,,,,
Budgerigar,Budgerigar,虎皮鹦鹉,虎皮鸚鵡,,,,,
Bug,Bug,虫鸣,,,,,,
Buy,Buy,购买,購買,구매해,Купить,Acheter,Comprar,買い
Buy 1?,Purchase?,购买？,,,,,,
Cancel,Cancel,取消,,,,,,
Capacity,Capacity,容量,,,,,,
Capacity Upgrade,Capacity Upgrade,栖息地容量升级,,,,,,
CardinalDescription,"Males blaze bright red like little flames, while females are gentle and",雄鸟一身红彤彤，像跳动的火苗；雌鸟则温柔优雅。它们的歌声就像小小的森林情歌。,雄鳥一身紅通通，像跳動的火苗；雌鳥則溫柔優雅。牠們的歌聲就像小小的森林情歌。,,,,,
CardinalHabitat,"""Loves living along forest edges and in parks across North America\u2014wherever",喜欢住在北美的森林边和公园里，有树有水的地方就是它们的乐园。,喜歡住在北美的森林邊和公園裡，有樹有水的地方就是牠們的樂園。,,,,,
Carpet,Fluffy Blanket,毛绒毯,,,,,,
CarpetDescription,Birds are ready for a picnic.,小鸟们要在这里野餐了。,,,,,,
Childhood,Baby,幼年,,,,,,
ChineseSimplified,Chinese,中文,簡體中文,Vereinfachtes Chinesisch,Chinês Simplificado,Chine simplifiée,Chinos,Cinese semplificato
ChineseTraditional,ChineseTraditional,繁体中文,繁體中文,Chinesisch Traditionell,Chinês Tradicional,Chinois traditionnel,Chinos Tradicionales,Cinese Tradizionale
